latitude,longitude,elevation_m,slope,curvature,tpi_7,tpi_31,tpi_121,roughness_7,roughness_31,relief_31
43.99375,42.00625,954.01013,0.14393833,-0.0013193275,15.230835,26.76587,-7.596863,24.927395,54.342087,210.35815
43.99375,42.01875,925.5877,0.19617487,0.00086223375,-3.7641602,-2.4310913,-35.8219,25.700195,58.97192,210.35815
43.99375,42.03125,877.0466,0.1319585,0.0006078436,-7.6951904,-32.34845,-90.63617,19.305117,52.309776,208.3031
43.99375,42.04375,834.81146,0.17192975,0.001405684,-10.298279,-47.09778,-135.67706,18.950594,43.754284,188.13062
43.99375,42.05625,889.691,0.11977428,0.0011835438,-15.220215,-16.395325,-82.805786,22.481937,47.488155,245.59045
43.99375,42.06875,1026.7391,0.19192746,0.0011639779,1.5844727,53.888977,50.69763,28.475866,51.67809,203.09583
43.99375,42.08125,1033.8931,0.16406828,-0.0004162929,7.183838,51.984985,48.96753,26.069618,51.08877,210.32733
43.99375,42.09375,909.5427,0.24311243,8.882057e-05,-3.8600464,-56.29724,-103.29346,18.354155,53.631847,218.89984
43.99375,42.10625,984.5547,0.1281228,0.0008075701,-5.575989,21.32959,-69.191895,37.580746,56.299976,218.89984
43.99375,42.11875,930.6481,0.1205164,0.000337164,-5.80896,-46.604736,-160.42053,18.146969,54.79222,229.99493
43.99375,42.13125,1044.8458,0.24688078,0.0019773685,-9.464478,-22.49707,-76.28076,39.319206,101.01052,408.47412
43.99375,42.14375,1265.9438,0.2538798,0.0021432617,-12.708618,48.48755,114.41394,45.782093,121.537544,468.16907
43.99375,42.15625,1436.7235,0.17773013,-0.0014878397,15.957031,126.65381,242.95471,23.782871,84.53328,384.83167
43.99375,42.16875,1269.5027,0.069906086,0.002164912,-27.228516,-35.133057,30.742676,28.68144,61.91123,329.75513
43.99375,42.18125,1255.087,0.24218607,-0.0003670234,3.7858887,-3.142456,-18.605835,22.624655,50.90064,215.13586
43.99375,42.19375,1265.8718,0.11112112,-0.0014832669,10.0177,-1.7940674,-29.322021,18.718307,63.147644,240.72217
43.99375,42.20625,1402.1891,0.1440064,-0.0019258409,19.759521,55.154785,102.097046,34.687893,64.611336,290.5681
43.99375,42.21875,1395.9539,0.23309806,-0.0014101958,5.2630615,9.70752,104.99536,26.65755,54.866886,225.26062
43.99375,42.23125,1382.6204,0.1271335,-0.00082005246,7.7574463,4.177368,107.53357,22.69912,61.930405,234.78479
43.99375,42.24375,1383.845,0.14268748,-0.00044399902,-1.3554688,33.681396,129.51514,17.446346,56.874863,275.1527
43.99375,42.25625,1268.6632,0.40090898,0.0017049233,-17.611328,-28.916748,52.896973,45.285206,72.13182,296.9192
43.99375,42.26875,1328.4281,0.15203285,-0.00080307777,10.06543,92.42639,157.51477,33.511192,79.10357,336.69446
43.99375,42.28125,1195.5363,0.267036,0.0010907516,-8.154663,34.50598,69.758545,49.55048,74.736206,354.51514
43.99375,42.29375,1027.4619,0.20325693,0.0014396651,-13.448608,-60.702393,-59.409668,15.700318,55.879333,301.2119
43.99375,42.30625,1133.179,0.08447561,-0.0008335524,11.630005,99.95276,74.31348,20.337772,59.204098,275.82037
43.99375,42.31875,995.4319,0.22378899,-0.0004976028,4.284546,33.770325,-59.22766,27.70379,65.682,272.1142
43.99375,42.33125,874.58295,0.11819464,0.0015234388,-12.0894165,-50.41217,-197.23749,18.758331,45.43608,197.32306
43.99375,42.34375,1024.9132,0.12108434,-0.00164142,15.3585205,56.29535,-70.884155,27.789387,66.7982,267.7343
43.99375,42.35625,1067.6044,0.27234018,-0.0019530762,12.442993,0.40576172,-61.277954,29.146183,100.43655,468.87555
43.99375,42.36875,1161.0161,0.4190542,0.00064330513,-17.618774,-37.377075,1.3945312,54.18256,103.67497,386.6939
43.99375,42.38125,1292.545,0.046705976,-0.00052789855,10.035522,23.6156,95.79736,14.543039,54.32886,272.6211
43.99375,42.39375,1281.6987,0.071247645,-0.0006877151,12.637573,5.182373,53.37805,22.110518,48.231213,235.75317
43.99375,42.40625,1230.5093,0.39841774,0.0011777717,-9.152344,-42.252686,-17.145264,30.407646,59.526257,242.08557
43.99375,42.41875,1233.5135,0.4212171,0.00058462244,-11.035522,-38.558105,-21.983154,31.750984,58.827076,242.08557
43.99375,42.43125,1242.717,0.100253046,0.0020323351,-16.310547,-26.614868,-2.4534912,10.89151,46.342476,245.70203
43.99375,42.44375,1211.628,0.16332863,-0.0015401857,6.936157,-38.497192,-24.093628,35.265068,51.7204,226.83679
43.99375,42.45625,1261.9004,0.051535264,-0.00016085217,3.4470215,14.233643,37.941772,9.1446705,51.54003,226.83679
43.99375,42.46875,1239.8805,0.06228854,1.0022081e-05,-0.48742676,-7.1417236,29.315674,10.535654,43.464066,172.5647
43.99375,42.48125,1243.3829,0.0684014,3.416261e-05,0.8153076,-0.40942383,49.426758,14.709691,43.72642,166.80212
43.99375,42.49375,1244.7466,0.06855906,1.5445774e-05,-0.26281738,-2.4628906,65.659546,12.796484,42.874817,146.57056
43.99375,42.50625,1239.7216,0.07136895,3.445892e-05,-0.32348633,0.068481445,72.397705,13.019217,39.273083,148.27795
43.99375,42.51875,1231.2861,0.07380018,1.6590582e-05,-0.19604492,0.10510254,78.560425,13.402425,36.8273,126.33411
43.99375,42.53125,1221.9098,0.061873876,4.9014983e-05,-0.44458008,-1.1713867,82.34497,11.407234,37.107952,116.26257
43.99375,42.54375,1211.6815,0.06365839,4.4493172e-05,-0.54003906,0.123291016,85.98804,11.736694,35.766605,119.73877
43.99375,42.55625,1199.9093,0.06557384,-2.8041958e-07,0.09472656,-2.022461,87.143555,12.139811,38.924606,124.48828
43.99375,42.56875,1188.176,0.06926789,2.184015e-05,-0.13171387,-5.635254,84.123535,12.990381,43.439613,128.40125
43.99375,42.58125,1184.5128,0.066608205,-2.6188369e-05,0.37426758,-1.3618164,88.49072,11.937336,41.362724,128.19507
43.99375,42.59375,1175.0122,0.050341025,-6.717009e-05,0.8996582,-1.0723877,88.51782,9.354143,37.604855,129.57593
